,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
11,Belarus,0.006471166448230668,0.01446886446886447,79,5460.0,12208,0.00504881,0.00789352,0.01130146,0.01763627,0.9675949367088608,1.061810154024993,0.9639224450548812,0.013378852085293238,0.015558876852435701
12,Belgium,0.15487810030844637,0.21225281565766235,7331,34539.0,47334,0.15161886,0.15813734,0.20794047,0.21656516,0.06595907788841904,0.057708823535655186,0.07849831453744033,0.2107687926486892,0.2137368386666355
13,Bolivia,0.052231718898385564,0.1014760147601476,55,542.0,1053,0.03879318,0.06567026,0.07605488,0.12689715,0.13796363636363637,0.15778080901300162,0.13396675688388152,0.09272774331805164,0.11022428620224356
14,Bosnia_and_Herzegovina,0.03904282115869018,0.05433829973707274,62,1141.0,1588,0.02951606,0.04856959,0.04118526,0.06749134,0.25764516129032256,0.29136638990093316,0.2518841629168757,0.04981189426838802,0.05886470520575746
15,Brazil,0.06979105806415714,0.13770860781730346,5017,36432.0,71886,0.06792847,0.07165364,0.13417015,0.14124707,0.1016639425951764,0.08943867242794837,0.12035648170928996,0.13649090470235495,0.13892631093225197
16,Bulgaria,0.04145818441744103,0.06621004566210045,58,876.0,1399,0.03101219,0.05190418,0.04974426,0.08267584,0.21144827586206896,0.24123388549595728,0.20562235386408173,0.06054361154407089,0.07187647978013001
17,Burkina_Faso,0.06583072100313479,0.08123791102514506,42,517.0,638,0.04658807,0.08507337,0.0576883,0.10478752,0.17233333333333334,0.20801444776672706,0.1622330576296159,0.07313369535999521,0.08934212669029491
18,Cameroon,0.032668881506090805,0.05767350928641251,59,1023.0,1806,0.0244702,0.04086756,0.04338789,0.07195913,0.24274576271186443,0.2765748883035959,0.2362452079087607,0.052757344558284604,0.06258967401454042
19,Chile,0.014410024364775497,0.02249266543518418,207,9203.0,14365,0.01246119,0.01635886,0.01946321,0.02552212,0.6224251207729469,0.6165476778406451,0.6660889745134714,0.021450129298792774,0.023535201571575584
20,China,0.05524183940910174,0.05586275856253087,4637,83007.0,83940,0.05369638,0.0567873,0.05430044,0.05742508,0.25061419020918696,0.2209926828303932,0.296037915239546,0.05532511215461867,0.05640040497044307
21,Colombia,0.04521768364430997,0.07592435788879481,269,3543.0,5949,0.0399377,0.05049767,0.06720254,0.08464617,0.18439405204460965,0.17856466994956569,0.20083601588527863,0.07292288722189155,0.07892582855569807
22,Cote_dIvoire,0.011834319526627219,0.01837270341207349,14,762.0,1183,0.00567203,0.01799661,0.00883749,0.02790792,0.762,1.3578517189929873,0.6091461309654864,0.015091314440684492,0.021654092383462487
23,Croatia,0.030776746458231558,0.037611940298507465,63,1675.0,2047,0.02329484,0.03825866,0.02850068,0.04672321,0.3722222222222222,0.4210426517588274,0.3638449026309073,0.034476446611138634,0.0407474339858763
24,Cuba,0.04036186499652053,0.06277056277056277,58,924.0,1437,0.03018629,0.05053744,0.04713142,0.07840971,0.2230344827586207,0.25460724959934394,0.21680988147160596,0.05738860432391785,0.06815252121720769
25,Cyprus,0.023894862604540025,0.029717682020802376,20,673.0,837,0.01354854,0.03424118,0.01688856,0.04254681,0.4711,0.7105403357188302,0.39955993509001336,0.0253027466900415,0.034132617351563255
26,Czechia,0.03025053304904051,0.03685663257022244,227,6159.0,7504,0.0263753,0.03412577,0.03215124,0.04156203,0.37985022026431714,0.37323604649625786,0.40902718458154214,0.03523734661900911,0.03847591852143577
27,Democratic_Republic_of_the_Congo,0.06109979633401222,0.0970873786407767,30,309.0,491,0.03991438,0.08228521,0.06407528,0.13009947,0.1442,0.18727970485351433,0.13066924391531165,0.08572680230514612,0.10844795497640727
28,Denmark,0.049034007456784545,0.06455451435371114,434,6723.0,8851,0.04453535,0.05353267,0.05868044,0.07042858,0.21687096774193548,0.20449742747264243,0.24137926749990127,0.06253304877976322,0.06657597992765905
29,Dominican_Republic,0.044576059850374064,0.06889906046735726,286,4151.0,6416,0.03952637,0.04962575,0.06119399,0.07660413,0.20319580419580419,0.19609769673411298,0.2219201397455019,0.06624748483057762,0.07155063610413691
30,Ecuador,0.03590568060021436,0.09103260869565218,871,9568.0,24258,0.03356435,0.03824701,0.08526879,0.09679643,0.1537910447761194,0.1407314411911456,0.17562632037045364,0.08904908489084248,0.09301613250046187
31,Egypt,0.07120190400634668,0.12422145328719723,359,2890.0,5042,0.06410362,0.07830018,0.11219619,0.13624672,0.11270194986072422,0.10695550435954498,0.1247736483049587,0.12008315408691907,0.1283597524874754
32,Estonia,0.030120481927710843,0.03644314868804665,50,1372.0,1660,0.02189836,0.0383426,0.02652758,0.04635872,0.38416,0.452359403761952,0.36670556783417774,0.03303086667376357,0.039855430702329726
33,Finland,0.0419831223628692,0.05786565862169235,199,3439.0,4740,0.03627382,0.04769242,0.05006199,0.06566933,0.2419396984924623,0.23970282088306474,0.2588727564882582,0.05518015257897513,0.060551164664409574
34,France,0.18654156975598218,0.23180851793429805,23660,102067.0,126835,0.18439777,0.18868537,0.22921968,0.23439736,0.060394674556213016,0.05235152582548213,0.07252641541472622,0.23091761145353012,0.23269942441506597
35,Germany,0.038790669939926796,0.04769890795631825,6115,128200.0,157641,0.03783747,0.03974387,0.04653224,0.04886557,0.29350776778413734,0.2578856880915424,0.3478932028247361,0.04729741983450046,0.04810039607813604
36,Ghana,0.009575104727707959,0.01853997682502897,16,863.0,1671,0.00490591,0.0142443,0.00954016,0.02753979,0.755125,1.2578403308617512,0.6172886112432178,0.015442836681954909,0.021637116968103026
37,Greece,0.05367008681925809,0.06412069778406412,136,2121.0,2534,0.04489539,0.06244479,0.05369544,0.07454596,0.21833823529411764,0.22348266399565617,0.22804724810781452,0.060533014795813134,0.06770838077231511
38,Guatemala,0.02872531418312388,0.057971014492753624,16,276.0,557,0.0148538,0.04259683,0.03040137,0.08554066,0.2415,0.39471902680190846,0.1987359065800248,0.04848337014208083,0.06745865884342642
39,Guernsey,0.05263157894736842,0.06220095693779904,13,209.0,247,0.02478433,0.08047883,0.02945721,0.0949447,0.22507692307692306,0.40737055390479543,0.1790515882003201,0.050932728648444,0.07346918522715408
40,Honduras,0.08943089430894309,0.14505494505494507,66,455.0,738,0.06884261,0.11001918,0.11269724,0.17741265,0.0965151515151515,0.10647998492227324,0.09582180084185819,0.13391956542216232,0.1561903246877278
41,Hungary,0.11001100110011001,0.16501650165016502,300,1818.0,2727,0.098267,0.121755,0.14795356,0.18207944,0.08484,0.08110652841506102,0.09336584147729342,0.1591445692231739,0.17088843407715612
42,India,0.032139665517681604,0.06181327113129949,1007,16291.0,31332,0.03018676,0.03409257,0.05811533,0.06551121,0.22648857994041707,0.2064859569573977,0.2594975730848375,0.0605406855782714,0.06308585668432758
43,Indonesia,0.0812743139522658,0.13070679742982752,773,5914.0,9511,0.07578264,0.08676599,0.12211588,0.13929772,0.10710996119016816,0.09826731972124857,0.12204076527871423,0.12775037204265205,0.133663222817003
44,Iran,0.063477490711138,0.07810070565721804,5877,75249.0,92584,0.06190695,0.06504803,0.07618351,0.0800179,0.17925574272588055,0.15751440637724065,0.21245245431467696,0.07744093315969455,0.07876047815474152
45,Iraq,0.047644829453167295,0.06232294617563739,88,1412.0,1847,0.03793029,0.05735936,0.04971392,0.07493197,0.22463636363636363,0.24138106181411403,0.22687246308461909,0.05798375646618917,0.06666213588508561
46,Ireland,0.0583085978769432,0.08694673668417104,1159,13330.0,19877,0.05505103,0.06156616,0.08216366,0.09172982,0.1610181190681622,0.1460499763397385,0.18532687046539537,0.08530071717076752,0.08859275619757455
47,Isle_of_Man,0.06796116504854369,0.084,21,250.0,309,0.03989932,0.09602301,0.04961528,0.11838472,0.16666666666666666,0.24186096519962408,0.14359961565355292,0.0721670581611313,0.09583294183886872
48,Israel,0.013342741676823401,0.017025456331341574,208,12217.0,15589,0.01154161,0.01514387,0.01473149,0.01931942,0.8222980769230769,0.8145813427477332,0.8799436525769436,0.01623602640958619,0.01781488625309696
49,Italy,0.13577330587330338,0.1662049693214264,27359,164610.0,201505,0.13427767,0.13726894,0.16440663,0.16800331,0.08423334186191016,0.07298975715870855,0.10118848336225904,0.165586100076974,0.1668238385658788
50,Japan,0.02808258735200693,0.04139619027349154,389,9397.0,13852,0.02533137,0.03083381,0.03736853,0.04542385,0.33819537275064265,0.3211258568992484,0.37425269713119946,0.04001013514696475,0.042782245400018334
51,Jersey,0.07042253521126761,0.09049773755656108,20,221.0,284,0.04066565,0.10017943,0.05267328,0.12832219,0.1547,0.22781949351045466,0.1324790306291075,0.0774810652889053,0.10351440982421686
52,Kazakhstan,0.008161932745674175,0.014819205690574985,25,1687.0,3063,0.0049756,0.01134827,0.00905339,0.02058502,0.94472,1.3254707870482896,0.8258430833017649,0.01283499290143135,0.01680341847971862
53,Kenya,0.0374331550802139,0.05622489959839357,14,249.0,374,0.01819533,0.05667098,0.02761298,0.08483682,0.249,0.4345782552008877,0.2003846897177157,0.04637857196504881,0.06607122723173833
54,Kosovo,0.027848101265822784,0.044715447154471545,22,492.0,790,0.01637451,0.03932169,0.02645293,0.06297797,0.3130909090909091,0.4536359988523518,0.26993567352039405,0.03843069769074715,0.05100019661819594
55,Kuwait,0.006686046511627907,0.012700165654334622,23,1811.0,3440,0.00396274,0.00940935,0.00754292,0.01785741,1.1023478260869564,1.5908965151980337,0.9519855162067546,0.010925382270174372,0.014474949038494873
56,Latvia,0.01555023923444976,0.01951951951951952,13,666.0,836,0.00716317,0.02393731,0.00901285,0.03002619,0.7172307692307692,1.3314321366604605,0.5661724427250692,0.015903820450731222,0.023135218588307818
57,Lebanon,0.03347280334728033,0.03858520900321544,24,622.0,717,0.02030717,0.04663843,0.02344894,0.05372147,0.3628333333333333,0.5117501271736857,0.3164470124582089,0.03337630936062045,0.043794108645810424
58,Liberia,0.11347517730496454,0.20512820512820512,16,78.0,141,0.06112304,0.16582731,0.11551706,0.29473935,0.06825,0.10388075936509768,0.05767808076470322,0.1742899862627372,0.23596642399367304
59,Lithuania,0.03036576949620428,0.037800687285223365,44,1164.0,1449,0.0215307,0.03920084,0.02684464,0.04875674,0.37036363636363634,0.44701664145438613,0.3486697686991032,0.03403034105292898,0.04157103351751775
60,Luxembourg,0.023790430366212242,0.027401477832512317,89,3248.0,3741,0.01890698,0.02867388,0.0217872,0.03301576,0.5109213483146067,0.550782102680955,0.51490568120615,0.025469415472466193,0.02933354019255844
61,Malaysia,0.017091095539224065,0.0205761316872428,100,4860.0,5851,0.01377005,0.02041214,0.01658499,0.02456727,0.6804,0.7235458157215374,0.6919774786457403,0.019202645086915666,0.02194961828756993
