,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
54,Kosovo,0.027848101265822784,0.037996545768566495,22,579.0,790,0.01637451,0.03932169,0.02242366,0.05356943,0.3684545454545454,0.5351491077032269,0.31734514515856865,0.03263738918084411,0.043355702356288876
55,Kuwait,0.006686046511627907,0.01071262226362366,23,2147.0,3440,0.00396274,0.00940935,0.00635809,0.01506715,1.3068695652173912,1.8873583192514674,1.1282822859891866,0.009214081842638434,0.012211162684608888
56,Latvia,0.01555023923444976,0.01783264746227709,13,729.0,836,0.00716317,0.02393731,0.00822571,0.02743959,0.785076923076923,1.4588407222890378,0.6195428882007815,0.014526575905841914,0.021138719018712268
57,Lebanon,0.03347280334728033,0.036036036036036036,24,666.0,717,0.02030717,0.04663843,0.02188104,0.05019104,0.38849999999999996,0.5484201082319037,0.33870589749271107,0.031164822750904306,0.040907249321167766
58,Liberia,0.11347517730496454,0.17204301075268819,16,93.0,141,0.06112304,0.16582731,0.09533707,0.24874896,0.08137499999999999,0.12586919732880866,0.06834199556764055,0.14564590663303872,0.19844011487233765
59,Lithuania,0.03036576949620428,0.03400309119010819,44,1294.0,1449,0.0215307,0.03920084,0.0241283,0.04387788,0.4117272727272727,0.49734134335455943,0.38743891440815637,0.030604841510685283,0.037401340869531105
60,Luxembourg,0.023790430366212242,0.025385054192812322,89,3506.0,3741,0.01890698,0.02867388,0.02017853,0.03059158,0.5515056179775281,0.5946914247449274,0.5557085335425498,0.02359331423340843,0.027176794152216216
61,Malaysia,0.017091095539224065,0.018846588767433094,100,5306.0,5851,0.01377005,0.02041214,0.0151877,0.02250548,0.74284,0.7901130947780219,0.7553716357568605,0.017587441382729822,0.020105736152136365
62,Mali,0.05660377358490566,0.09125475285171103,24,263.0,424,0.03460822,0.07859933,0.05645156,0.12605794,0.15341666666666665,0.21257161317026238,0.1348586194104387,0.07927780101964732,0.10323170468377474
63,Mexico,0.09366045845272206,0.15829297820823243,1569,9912.0,16752,0.08924843,0.09807249,0.15110712,0.16547884,0.08844359464627151,0.07941386304547098,0.10273216923839035,0.15582008132104236,0.1607658750954225
64,Moldova,0.029411764705882353,0.04096477794793262,107,2612.0,3638,0.02392148,0.03490205,0.03336354,0.04856601,0.34175700934579434,0.3596740177454357,0.350039037949283,0.038348936906482195,0.04358061898938305
65,Morocco,0.038805268109125116,0.053675992192582955,165,3074.0,4252,0.03300026,0.04461027,0.04570878,0.0616432,0.2608242424242424,0.2625315917855206,0.27578062269084214,0.050934207216477095,0.056417777168688815
66,Netherlands,0.118856726364015,0.13983401218877287,4566,32653.0,38416,0.11562059,0.12209287,0.13607231,0.14359571,0.10011870346035916,0.08818840332129922,0.11838793659268039,0.13853948447455,0.14112853990299573
67,New_Zealand,0.016873889875666074,0.017608897126969416,19,1079.0,1126,0.00935089,0.02439689,0.00976114,0.02545666,0.7950526315789473,1.2293648375574477,0.6678017694789269,0.014908218419305147,0.020309575834633685
68,Niger,0.04372355430183357,0.050243111831442464,31,617.0,709,0.02867224,0.05877487,0.03300658,0.06747965,0.2786451612903226,0.36356392111119035,0.25192781016257343,0.04431143798591138,0.056174785676973545
69,Nigeria,0.028720626631853787,0.05385556915544676,44,817.0,1532,0.02035713,0.03708412,0.03837699,0.06933415,0.25995454545454544,0.31268736783860535,0.24518942574527128,0.04852886772324946,0.05918227058764406
70,North_Macedonia,0.04996481351161154,0.06047700170357751,71,1174.0,1421,0.03863682,0.06129281,0.04684176,0.07411224,0.23149295774647888,0.2561816696221982,0.2293817993278369,0.05578465450077087,0.06516934890638415
71,Norway,0.02564102564102564,0.027857142857142858,195,7000.0,7605,0.02208859,0.02919346,0.02400207,0.03171221,0.5025641025641026,0.4999568438179019,0.5360710538606966,0.026530482766054717,0.029183802948231
72,Pakistan,0.021968424588511924,0.0338684619368203,327,9655.0,14885,0.01961365,0.0243232,0.03026029,0.03747664,0.41336391437308867,0.3965593838877461,0.4536159201715814,0.032626766508266486,0.03511015736537411
73,Panama,0.02838709677419355,0.03776824034334764,176,4660.0,6200,0.0242532,0.03252099,0.03229483,0.04324166,0.37068181818181817,0.37157655289195257,0.3931394391543624,0.035884653643532986,0.03965182704316229
74,Peru,0.027380570695735813,0.047428634899477955,854,18006.0,31190,0.02556951,0.02919163,0.04432401,0.05053326,0.29518032786885245,0.27073360125179247,0.3364121273313097,0.046360230162230474,0.048497039636725435
75,Philippines,0.06659964815280221,0.08350401764613204,530,6347.0,7958,0.06112172,0.07207757,0.07669816,0.09030987,0.16765660377358488,0.15645746750108488,0.18824076652374322,0.08116189262572401,0.08584614266654006
76,Poland,0.04878048780487805,0.06304209858261053,596,9454.0,12218,0.04496094,0.05260003,0.05814301,0.06794119,0.2220738255033557,0.2063876786007162,0.25021639547023483,0.06135615543602329,0.06472804172919779
77,Portugal,0.038977057807746074,0.046207837785143306,948,20516.0,24322,0.03654474,0.04140937,0.04333516,0.04908051,0.3029789029535865,0.2769113840925051,0.34636965166016914,0.045219253489109726,0.047196422081176886
78,Puerto_Rico,0.06142857142857143,0.0745880312228968,86,1153.0,1400,0.04885082,0.07400632,0.05942327,0.08975279,0.18769767441860463,0.20194109011113584,0.18940914939937922,0.06936932525258327,0.07980673719321033
79,Romania,0.0559573002754821,0.0723750139182719,650,8981.0,11616,0.05177761,0.06013699,0.06701623,0.0777338,0.1934369230769231,0.17906110360107846,0.21869508948949853,0.07053087533061383,0.07421915250592998
80,Russia,0.009266978772526134,0.016676604666371733,867,51989.0,93558,0.008653,0.00988096,0.01557584,0.01777737,0.8394994232987312,0.770423923723433,0.9562719865724784,0.016297794500639885,0.017055414832103582
81,San_Marino,0.07414104882459313,0.08893709327548807,41,461.0,553,0.05230433,0.09597776,0.06295266,0.11492153,0.15741463414634146,0.19061943229922054,0.14792702698019275,0.07999497232459377,0.09787921422638238
82,Saudi_Arabia,0.007570852218957015,0.013131749460043196,152,11575.0,20077,0.00637185,0.00876986,0.01105789,0.0152056,1.0661184210526315,1.0851975923540345,1.1180087964728582,0.012418065826962898,0.013845433093123494
83,Serbia,0.019771684123808402,0.026241799437675725,168,6402.0,8497,0.01681162,0.02273175,0.02232607,0.03015753,0.5335,0.5374882260156821,0.5637066725147835,0.02489426494844242,0.02758933392690903
84,Singapore,0.0009363922145675874,0.0015970796258270592,14,8766.0,14951,0.00044612,0.00142667,0.00076116,0.002433,8.765999999999998,15.765372501048232,6.987265972679356,0.0013094121072002253,0.001884747144453893
85,Sint_Maarten,0.17333333333333334,0.2,13,65.0,75,0.08766433,0.25900234,0.10275855,0.29724145,0.06999999999999999,0.11677859819967842,0.057192562756847164,0.166535937140515,0.233464062859485
86,Slovakia,0.014450867052023121,0.017316017316017316,20,1155.0,1384,0.00816354,0.0207382,0.00979307,0.02483897,0.8085,1.2253563474066727,0.6844085484597634,0.014727117130625059,0.01990491750140957
87,Slovenia,0.061079545454545456,0.06584992343032159,86,1306.0,1408,0.04857094,0.07358816,0.05239868,0.07930117,0.2126046511627907,0.22901340726805436,0.21437263088789424,0.061220896260011794,0.07047895060063138
88,Somalia,0.05303030303030303,0.11067193675889328,28,253.0,528,0.03391588,0.07214473,0.0720141,0.14932978,0.1265,0.16663404161447,0.11384199703236957,0.09736846943255117,0.12397540408523539
89,South_Africa,0.018614891913530825,0.026716460787130136,93,3481.0,4996,0.014867,0.02236278,0.02135966,0.03207326,0.524021505376344,0.5618066095846459,0.5300365754968035,0.02487300598286438,0.028559915591395892
90,South_Korea,0.022860328965709508,0.023166023166023165,246,10619.0,10761,0.02003648,0.02568418,0.02030486,0.02602718,0.6043333333333334,0.5909914735408128,0.6531632249084226,0.022181400870374506,0.024150645461671824
91,Spain,0.11302206639370317,0.12682745035404355,23822,187830.0,210773,0.11167037,0.11437376,0.1253225,0.1283324,0.11038619763244059,0.09575295765132451,0.1324684947637796,0.12630954602277855,0.12734535468530855
92,Sudan,0.07861635220125786,0.1968503937007874,25,127.0,318,0.04903546,0.10819724,0.12769714,0.26600364,0.07111999999999999,0.09397234516554825,0.06390889883919654,0.17305242641738353,0.2206483609841913
93,Sweden,0.12002446358493452,0.1566136862406065,2355,15037.0,19621,0.11547712,0.12457181,0.15080476,0.16242261,0.08939193205944797,0.07957308339674306,0.1046652315024967,0.15461463979343235,0.15861273268778067
94,Switzerland,0.047256776669750866,0.050799381124290874,1379,27146.0,29181,0.04482223,0.04969132,0.0481872,0.05341156,0.27559390862944155,0.24902879079894744,0.3182831412370736,0.049900441241360616,0.05169832100722113
95,Thailand,0.018379850238257316,0.019722425127830533,54,2738.0,2938,0.01352289,0.02323681,0.01451424,0.02493061,0.7098518518518518,0.8267740170385991,0.681892769766301,0.017930114317215782,0.021514735938445283
96,Tunisia,0.041025641025641026,0.04672897196261682,40,856.0,975,0.02857542,0.05347586,0.03259017,0.06086777,0.2996,0.36820915299398954,0.2792939472634949,0.04186333409950549,0.05159460982572815
97,Turkey,0.026096133550801114,0.03360476217217948,2992,89035.0,114653,0.02517335,0.02701892,0.03242105,0.03478847,0.4166076203208556,0.3701298814924998,0.48866761535219705,0.033197407429970786,0.03401211691438818
98,Ukraine,0.025398512221041444,0.03721002646738284,239,6423.0,9410,0.02221966,0.02857737,0.03258116,0.0418389,0.3762426778242678,0.3683110413283884,0.4063204769637643,0.035617076401310226,0.038802976533455456
99,United_Arab_Emirates,0.007820738137082601,0.011769373181697964,89,7562.0,11380,0.0062023,0.00943918,0.00933865,0.0142001,1.1895280898876404,1.2849823610004143,1.1971749398953453,0.010932879164248113,0.012605867199147814
100,United_Kingdom,0.13452480685097273,0.17583932902346633,21678,123283.0,161145,0.13285883,0.13619078,0.17371432,0.17796434,0.07961813820463143,0.06907893308733588,0.09552475704968708,0.1751080422655709,0.17657061578136177
101,United_States_of_America,0.057629843677012155,0.07438742392991993,58355,784474.0,1012583,0.05717594,0.05808375,0.07380676,0.07496809,0.188203855710736,0.16258672838130836,0.22676315998259108,0.0741875986361432,0.07458724922369665
102,Uruguay,0.024,0.028089887640449437,15,534.0,625,0.01200118,0.03599882,0.01407578,0.042104,0.4984,0.8525283705919995,0.4037621380032195,0.02326715954393574,0.032912615736963136
