,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
10,Bangladesh,0.023986381925100587,0.08446866485013624,155,1835.0,6462,0.02025581,0.02771695,0.07174493,0.0971924,0.16574193548387095,0.16725919660483202,0.17491080300298562,0.08008999963164962,0.08884733006862286
11,Belarus,0.006471166448230668,0.020010131712259373,79,3948.0,12208,0.00504881,0.00789352,0.015642,0.02437826,0.699645569620253,0.7671651072524246,0.6973426608602884,0.01850691169999775,0.021513351724520995
12,Belgium,0.15487810030844637,0.26084326632271837,7331,28105.0,47334,0.15161886,0.15813734,0.25570976,0.26597678,0.05367207747919793,0.04692820545685681,0.0639153547896261,0.2590766524223416,0.2626098802230951
13,Bolivia,0.052231718898385564,0.13317191283292978,55,413.0,1053,0.03879318,0.06567026,0.10040422,0.16593961,0.10512727272727272,0.1195168895269616,0.10244691056104671,0.12189544371333177,0.1444483819525278
14,Bosnia_and_Herzegovina,0.03904282115869018,0.06659505907626208,62,931.0,1588,0.02951606,0.04856959,0.05057997,0.08261015,0.2102258064516129,0.23724805510398772,0.20578586052014866,0.06108372717334821,0.07210639097917594
15,Brazil,0.06979105806415714,0.18140073037567342,5017,27657.0,71886,0.06792847,0.07165364,0.17685922,0.18594225,0.07717719752840344,0.06785057804978037,0.0914262381318489,0.1798378418180665,0.18296361893328034
16,Bulgaria,0.04145818441744103,0.08169014084507042,58,710.0,1399,0.03101219,0.05190418,0.0615437,0.10183658,0.1713793103448276,0.19498340639176814,0.16693411629152405,0.07475707019325022,0.08862321149689063
17,Burkina_Faso,0.06583072100313479,0.09722222222222222,42,432.0,638,0.04658807,0.08507337,0.06928524,0.1251592,0.144,0.1731970503194468,0.13582701091690202,0.0876081654393974,0.10683627900504705
18,Cameroon,0.032668881506090805,0.07301980198019802,59,808.0,1806,0.0244702,0.04086756,0.05508081,0.09095879,0.19172881355932203,0.2178617082685967,0.18689782273212993,0.06684639046257743,0.0791932134978186
19,Chile,0.014410024364775497,0.028243962341383544,207,7329.0,14365,0.01246119,0.01635886,0.0244511,0.03203683,0.4956811594202899,0.4907754810742469,0.530639343111255,0.026938710155433213,0.029549214527333875
20,China,0.05524183940910174,0.057426993287593195,4637,80746.0,83940,0.05369638,0.0567873,0.05582226,0.05903173,0.2437877938322191,0.21496801107538357,0.28798073020057813,0.05687475007855528,0.05797923649663111
21,Colombia,0.04521768364430997,0.09631220909416398,269,2793.0,5949,0.0399377,0.05049767,0.08537107,0.10725335,0.14536059479553903,0.14056283786565968,0.15850321162755757,0.09254699421630816,0.1000774239720198
22,Cote_dIvoire,0.011834319526627219,0.02348993288590604,14,596.0,1183,0.00567203,0.01799661,0.01133076,0.03564911,0.596,1.059064465112785,0.4768702399420573,0.019305549443673374,0.027674316328138708
23,Croatia,0.030776746458231558,0.04477611940298507,63,1407.0,2047,0.02329484,0.03825866,0.03396982,0.05558242,0.31266666666666665,0.3532547052276719,0.3058521281877127,0.04105730831407439,0.04849493049189575
24,Cuba,0.04036186499652053,0.08044382801664356,58,721.0,1437,0.03018629,0.05053744,0.06059129,0.10029636,0.17403448275862068,0.19804825516788524,0.16949767277931396,0.07361190100022992,0.08727575503305719
25,Cyprus,0.023894862604540025,0.03558718861209965,20,562.0,837,0.01354854,0.03424118,0.02027073,0.05090364,0.3933999999999999,0.5919864677236131,0.33396430588822773,0.030316279566824037,0.04085809765737526
26,Czechia,0.03025053304904051,0.04355333844973139,227,5212.0,7504,0.0263753,0.03412577,0.03801235,0.04909432,0.32144493392070483,0.315686848484582,0.3462722110260987,0.041646498449215995,0.04546017845024678
27,Democratic_Republic_of_the_Congo,0.06109979633401222,0.12195121951219512,30,246.0,491,0.03991438,0.08228521,0.08105973,0.16284271,0.11479999999999999,0.14803898359719475,0.10439521716224254,0.10787907790887831,0.13602336111551191
28,Denmark,0.049034007456784545,0.07743086529884032,434,5605.0,8851,0.04453535,0.05353267,0.07043379,0.08442794,0.18080645161290324,0.17037278117287627,0.20135513271053357,0.07502293416202362,0.07983879643565701
29,Dominican_Republic,0.044576059850374064,0.08781086889775867,286,3257.0,6416,0.03952637,0.04962575,0.0780911,0.09753063,0.15943356643356643,0.15366667272999504,0.1743042078228849,0.08446596951040707,0.09115576828511028
30,Ecuador,0.03590568060021436,0.11832631435946203,871,7361.0,24258,0.03356435,0.03824701,0.11094771,0.12570492,0.11831687715269804,0.10815906089161875,0.1352373480776361,0.11578708720567447,0.12086554151324959
31,Egypt,0.07120190400634668,0.15870910698496907,359,2262.0,5042,0.06410362,0.07830018,0.14365081,0.1737674,0.08821169916434539,0.08353590109417153,0.0978319280829155,0.15352703941062953,0.1638911745593086
32,Estonia,0.030120481927710843,0.04280821917808219,50,1168.0,1660,0.02189836,0.0383426,0.03119935,0.05441708,0.32704,0.3846233362110114,0.31240189560424747,0.038813217241895605,0.046803221114268774
33,Finland,0.0419831223628692,0.0705173635719348,199,2822.0,4740,0.03627382,0.04769242,0.06107157,0.07996315,0.1985326633165829,0.19649075975062763,0.21259791990797677,0.0672667486569423,0.07376797848692732
34,France,0.18654156975598218,0.27616313000443543,23660,85674.0,126835,0.18439777,0.18868537,0.2731693,0.27915696,0.05069467455621301,0.043928801253551246,0.060897640360987326,0.2751328529420733,0.27719340706679757
35,Germany,0.038790669939926796,0.056471870267075466,6115,108284.0,157641,0.03783747,0.03974387,0.05509701,0.05784673,0.2479110384300899,0.21779767392385227,0.29388003451405925,0.05599873347488749,0.05694500705926344
36,Ghana,0.009575104727707959,0.02450229709035222,16,653.0,1671,0.00490591,0.0142443,0.01264439,0.0363602,0.5713749999999999,0.9490374442336074,0.4675441349999675,0.02042159124660093,0.028583002934103513
37,Greece,0.05367008681925809,0.07464324917672886,136,1822.0,2534,0.04489539,0.06244479,0.06257557,0.08671093,0.18755882352941175,0.19176813064799994,0.19605371823159815,0.0704903533735617,0.07879614497989602
38,Guatemala,0.02872531418312388,0.07766990291262135,16,206.0,557,0.0148538,0.04259683,0.04112018,0.11421962,0.18025,0.2918274944576973,0.1488360720467375,0.06509191087102513,0.09024789495421758
